id,job,title,company,location,tags,qualifications,preferred,benefits,skills,workplace
165306,웹 개발자,웹 서버/백엔드(Back-End) 개발자,엔드림,"['서울', '한국']","['연봉업계평균이상', '인원급성장', '퇴사율 6~10%', '51~300명', '설립4~9년', '육아휴직', '자율복장', '워크샵', 'IT, 컨텐츠']","['• C# 개발 경험이 있거나, 개발이 가능 하신분 (필수)', '• .NET MVC 개발 경험이 있으신 분', '• MVC 패턴에 대하여 이해하고 계신 분 ', '• HTML5, CSS, javascript 에 대한 이해가 있는 분', '• 외부 Library나 API 사용에 능숙 하신 분']","['• Java, node.js 개발 경험이 있으신 분', '• 아키텍쳐 설계에 능숙 하신 분', '• HTTP 기반의 대용량 웹 관련 서비스에 대한 경험이 있으신 분', '• 코드 품질 향상을 위한 분석 및 리팩토링 경험이 있으신 분', '• 업무 커뮤니케이션이 능숙 하신 분']","['■ 오직 엔드리머만이 경험할 수 있는 특별한 복지!', '', 'ㆍ일하기 즐거운 엔드리머', '- 조직 발전을 위한 2021년 연봉조정대상 전원 연봉 1천만원 파격 인상', '- 경찰병원역 도보 1분 및 가락시장역 도보 5분 이내에 위치한 사무실', '- 원거리 근무자의 편의를 위한 오피스텔 임대 지원(2인 1실)', '- 워라밸(Work-life balance) 향상을 위한 선택적근로시간제 운영', '- 식권대장을 통한 점심/저녁 식대 제공(일 최대 2만 원)', '- 임직원 전용 휴게공간 및 커피, 각종 차 제공', '- 메일 아침을 든든하게 만들어줄 맛 좋은 쿠키와 빵 제공', '- 사내 호칭을 ‘님’으로 통일해 상호 존중하는 조직문화 지향', '- 자율복장제도를 통해 캐주얼한 업무 분위기 조성', '', 'ㆍ모두가 건강한 엔드리머', '- 각종 경조사비 및 경조 화환 지원(임직원 본인 및 가족 포함)', '- 임직원의 빠른 회복을 지원하기 위한 코로나19 백신 접종 휴가 시행', '- 생활 안정 지원을 위한 주거래 은행 연계형 개인신용대출 지원(임직원 한정 우대 금리 적용)', '- 자녀의 성장을 함께 지켜볼 수 있도록 산전후 휴가 및 육아 휴직 제도 마련', '- 임직원 본인 대상 연간 건강검진 1회 제공', '- 임직원 단체상해보험 가입', '- 명절(설날, 추석) 상품권 지급', '', 'ㆍ꾸준히 성장하는 엔드리머', '- 임직원 게임비 지원', '- 사내 채용을 통한 인재 추천 시 추천자 포상금 지급', '- 직무역량 향상을 위한 전사 워크샵 진행', '- 참여 프로젝트 기여자 엔드림 뱃지 지급', '', 'ㆍ다함께 소통하는 엔드리머', ""- 네트워크 확대 프로그램의 일환으로 진행되는 '호스트 미팅'"", '- 입사 후 1년 근속 시 제주도 단체여행(희망자)', '- 입사 후 3년 근속 시 해외여행 경비 100만원 및 4일 유급휴가', '- 입사 후 5년 근속 시 해외여행 경비 200만원 및 1개월 유급휴가', '', '', '■ 지원 전 잠깐! 이런 점은 유의해주세요.', '', '- 입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다.', '- 채용 과정 중 접수된 서류는 일체 반환하지 않으며 전형 종료 후 즉시 파기됩니다.', '- 장애인 및 국가보훈대상자는 우대합니다.', '- 입사지원은 해외여행에 결격사유가 없는 자에 한하여 가능합니다.']","['MySQL', 'C#', 'CSS', 'Java', 'JavaScript', 'Node.js', 'HTTP', 'HTML5', 'MSSQL']","서울특별시 송파구 중대로 135, IT 벤처타워 서관 15~16층"
164804,웹 개발자,Backend 개발팀 시니어 개발자 (6년 이상),모던라이언,"['서울', '한국']","['퇴사율5%이하', '설립3년이하', '식비', '교육비', '도서구매비', 'Macbook', '연봉상위11~20%', 'IT, 컨텐츠']","['• 6년 이상의 백엔드 개발 경력이 있거나 그에 준하는 실력을 갖추신 분', '• JavaScript / TypeScript 를 이용한 개발에 능숙하신 분', '• 웹 서비스에 대한 전반적인 이해를 갖추신 분', '• RDB(Postgres) 및 ORM에 대한 전반적인 이해를 갖추신 분', '• 도커, 쿠버네티스 등 컨테이너 기반의 서비스에 대한 경험이 있으신 분', '• 1년 이상의 NestJS 실무 프로젝트 개발 경험이 있으신 분', '• 모듈화, 테스트, 유지보수가 용이한 코드에 대한 이해를 갖추고 계신 분', '• 기술 중심이 아닌 유저 중심적인 태도를 가지고 계신 분', '• 배움에 대한 열정을 갖고, 지속적이고 효과적으로 피드백을 주고 받는 분']","['• 하나 이상의 백엔드 서비스나 플랫폼을 직접 설계 및 개발한 경험이 있는 분', '• NestJS, TypeORM, Ethers 등의 라이브러리 사용 경험이 있는 분', '• 사용자 인증과 인가 방식에 대한 설계 및 구현 경험이 있는 분', '• 블록체인과 NFT 도메인에 대한 이해가 있으며, 관련 개발에 경험이 있으신 분', '• 피그마로 제작된 UI / UX 기반으로 기획자와 협업 경험이 있으신 분']","['• 점심식비 지원(일 1만 5천원_연간 약 370만원)', '• 자율출퇴근제(원하는 시간에 자유롭게 출퇴근)', '• 자유로운 연차, 반차 사용', '• 생일 휴가', '• 성장을 위한 지원(도서 구매비, 교육비, 세미나 참석)', '• 최신 업무장비(LG Gram/MacBook, 듀얼 모니터) 및 모션데스크, 최고급 사무용 의자', '• 경조사 지원(휴가, 화환)']","['JavaScript', 'TypeScript', 'Blockchain', 'Docker', 'PostgreSQL', 'ORM', 'React Native', 'Kubernetes', 'Redux', 'Nest.js', 'Typeform']","서울시 종로구 종로3길 17, 디1동 16층 (청진동,D타워)"
163902,웹 개발자,웹 프론트엔드 및 백엔드 개발자(5-10년),엔에스원소프트,"['서울', '한국']","['인원급성장', '50명이하', '설립4~9년', '성과급', '수평적조직', '워크샵', '간식', '휴게실', 'IT, 컨텐츠']","['• 프론트엔드 영역 개발 기본 스킬 보유(Java, javascript, Spring Boot, JSP, React, Vue.js, etc)', '• 관련 개발경력 5년~10년 사이 우대', '• 백오피스/관리자영역/분석영역 개발 경험']","['• NMS/APM/SMS 등 개발 경험자 우대', '• 스타트업 4년이상 경험자 우대', '• 백엔드 개발 스킬 보유자 우대']","['• 년1회 종합건강검진', '• 단체보험 가입', '• 명절선물, 생일선물, 창림기념선물, 근로자의날선물', '• 휴게실, 회의실, 스마트기기, 노트북 지급', '• 연차, 경조휴가/축하금 지급, 생일자조기퇴근', '• 퇴직연금, 성과급, 휴일수당, 연차수당', '• 워크샵, 신입사원교육(OJT), 직무교육, 자기계발지원, 저녁식사 제공, 간식 제공', '• 수평적 조직문화, 회식강요 안함, 자유복장, 문화회식']","['React', 'JavaScript', 'API', 'Spring Framework', 'GIS', 'JPA']","강남구 학동로 107, 더 퍼스트 빌딩 4층"
162994,웹 개발자,React 개발자,넥시빌,"['경기', '한국']","['연봉업계평균이상', '퇴사율5%이하', '50명이하', '설립4~9년', '유연근무', '스톡옵션', '워크샵', 'IoT', 'IT, 컨텐츠']","['• 학력 : 공학계열 학사이상(단, 업무능력에 따라 주어지는 일과 보상이 다릅니다.)', '', '• 외국어 능력(영어): 독해(읽기) 중급 이상(최소한 Stack_Overflow에서 질의 응답을 파악할 수 있어야 합니다.)', '', '• 책임감과 소명의식: 넥시빌의 업무평가는 책임감과 성과를 기본으로 합니다.']","['• 이공계 석사/박사', '', '• 공학계열, 자연계열(특히, 역학/수학에 능숙하신 분들을 우대합니다.)', '', '• JavaScript, React, three.js, python 개발 경험자']","['• 듀얼모니터, 업무용 고사양PC 지원', '', '• 3無정책(야근x, 회식x, 워크샵x) / 종종 점심회식으로 대체', '', '• 10am-5pm 근무(유연근무)', '', '• 창립일 휴무, 하계/동계 방학, 자율휴가제', '', '• 1년 이상 근무시 스톡옵션 부여대상']",,경기도 고양시 일산서구 고양대로 283 28동 310호
162912,웹 개발자,"[firebase,Vue.js] 풀스택 개발자",미러,"['서울', '한국']","['리프레시휴가', '스톡옵션', '건강검진', 'IT, 컨텐츠']","['[ 어떤 조건이 필요한가요? ]', '', '- 웹 어플리케이션 프론트엔드 및 백엔드 개발 5년 이상 또는 이에 준하는 역량을 보유하신 분', '- HTML(5), CSS, javascript(ES6) 지식을 보유하고 계신 분[필수]', '- Vue.js를 이용한 개발 경험이 있으신 분[필수]', '- RESTful API 클라이언트 개발 경험이 있으신 분[필수]', '- Firebase 를 이용한 개발 경험이 있으신 분[필수]', '- 제네시스 블록을 사용할 줄 아시는 분[필수]', '- node.js를 이용한 개발 경험이 있으신 분', '- next.js를 이용한 개발 경험이 있으신 분']","['[ 이런 점이 있다면 더욱 좋아요 ! ]', '', '- 대용량 트래픽 처리 경험이 있으신 분', '- 동시성 처리에 대해 경험이 있으신 분', '- 맡은 서비스를 고객 중심에서 같이 고민하고 키워나가실 분', '- 코드 리뷰 등을 통해 주변 동료에게 자극을 주는 분', '- 새로운 기술에 호기심이 많고 널리 공유하시는 분']","['[ 이렇게 일해요! ]', '', '- 디스코드, 노션, 구글시트, flex 등을 통해 협업을 진행합니다.', '- Daily Scrum을 진행합니다.', '- 프로젝트 진행은 2주 단위로 스프린트를 진행합니다.', '- GitHub 로 코드를 관리하며 Pull Request 시 1인 이상의 코드리뷰를 받고 Merge를 진행 합니다.', '- CI / CD 를 구축하여 빌드/배포를 자동화 합니다.', '- Notion 을 활용해 이슈와 문서를 관리합니다.', '- 정기 배포 주기에 맞춰서 개발과 테스트를 진행 합니다.', '', '', '[ 이런 복지 문화가 있어요! ]', '', '사유없는 휴가 사용 - 휴가 사용에 이유를 묻지 않습니다.', '스톡옵션 제도 - 우리는 더 성장할 것입니다. 함께 이룬 성과는 모두의 자격입니다.', '중식지원 - 감사의 마음을 담아 하루 한 끼 식사를 대접한다는 생각으로 중식을 지원합니다.', '직무발명 보상제도 - 빛나는 아이디어에 걸맞는 대가를 지급합니다.', '도서구입비 - 매년 퍼즐 15만 포인트를 제공합니다.', '리프레시 휴가 - 1년/2년/3년 이상 재직자에게 한 달간의 긴 휴가와 100만원/200만원/300만원의 포상금을 지급합니다.', '경조사 지원 - 직원 가족 여러분에게 축하나 조의의 마음을 담아 전달합니다.', '건강검진 지원 - 무엇보다도 건강을 최우선으로 생각합니다.', '청년 내일채움공제 지원 - 회사의 성장과 구성원의 재정적인 발전을 함께 고려합니다.']","['Firebase', 'VueJS', 'Node.js', 'Next.js']",서울 광진구 광나루로 474
162069,웹 개발자,Backend(Python) Engineer,프리디소프트,"['서울', '한국']","['연봉업계평균이상', '인원급성장', '50명이하', '설립4~9년', '인공지능', '재택근무', 'IT, 컨텐츠']","['• 웹개발 경험 4년 이상', '• python + python framework (django, flask, fastapi 등 사용) 경력자', '• TDD를 위해 노력하시는 분', '• Network (http, TCP/IP 등) 지식이 풍부하신 분', '• DB/SQL에 대한 충분한 지식이 있으신 분 ', '• Docker 활용 경험 있으신 분']","['• 클라우드 서비스 활용 경험이 있으신 분', '• 리서치한 내용과 경험을 적극 공유하시는 분', '• 문제 파악과 해결에 적극적이신 분', '• pythonic 한 코드를 선호하시는 분', '• 코드 리뷰가 두렵지 않으신 분', '• 개발 공식 문서를 읽는데 어려움이 없으신 분', '', '[채용 절차]', '서류 전형 - 과제 전형 - HR 면접 - 실무진 면접 - 팀리드 면접 - 최종 합격 (임원 면접이 추가될 수 있습니다.) ', '', '[입사 유의사항]', '• 인턴을 제외한 모든 직무는 3개월 수습기간이 있습니다.', '• 수습기간 동안 급여(100%) 및 복지는 차등 없이 지급됩니다.', '• 입사지원 서류에서 허위기재 사실이 발견될 경우, 입사가 취소될 수 있습니다.']","['• 자율적인 근무 환경', '   - 시차 출퇴근제 (8-11시 출근 가능, 8시간 근무)', '   - 1시간 단위 휴가 사용 ', '   - 일퇴찬스 (한달에 한 번 일찍 퇴근 찬스) ', '• 수평적인 근무 환경', '• 주 2회 요일 선택 가능한 재택근무', '• 연 22회 휴가 지급', '   -  기본 연차(15일) + 일퇴찬스 (6일 : 1달에 0.5개 * 12) + 생일휴가 (1일)', '• 샌드위치 연차유급휴가 대체제도 (5일)', '• 직원의 성장을 위한 지원 (직무 관련 도서 및 강의 지원)', '• 동종업계 대비 경쟁력 있는 급여 측정']","['Django', 'Python']",서울특별시 강남구 선릉로111길 38-14
162050,웹 개발자,프론트엔드 개발자,게임듀오,"['경기', '한국']","['인원급성장', '51~300명', '설립4~9년', 'IT, 컨텐츠']","['• HTML, CSS 및 JavaScript(ES6+) 생태계에 익숙하신 분', '• React.js 프로젝트 개발 경험이 있으신 분', '• TypeScript로 JS 정적 타이핑 경험이 있으신 분', '• REST API를 이용한 프론트엔드 개발 경험이 있으신 분']","['• 백오피스 프론트엔드 개발 업무 경험 있으신 분', '• 정적 페이지 퍼블리싱 경험 있으신 분', '• React 서비스 개발 경험이 있으신 분', '• react-query, swr 등을 이용해 상태 관리 경험이 있으신 분', '• Next.js 등 SPA Framework을 이용한 SSR 프로젝트 경험이 있으신 분']","['• 동종업계 대비 경쟁력 있는 연봉 및 처우 제공', '• 코어 워킹 타임 기반 자율출퇴근제도', '• 시간 단위 휴가 사용', '• 자유로운 근무 복장', '• 업무 몰입 지원을 위한 개인 법인카드 지급', '• 업무 외 교양과 지적 휴식을 위한 자기개발비 지원', '• 업무 관련 교육과 컨퍼런스 무제한 지원', '• 업무 관련 도서 무제한 구매 지원', '• 자격증 취득 비용 지원', '• 사내 게임 대회 등 다양한 게임 관련 이벤트 개최', '• 상금과 상품으로 가득한 게임잼 진행', '• 게임연구비 지원', '• 경조 휴가 및 경조금 지원', '• 건강관리비 지원', '• 독감 예방접종 비원 지원', '• 입사 팀원을 위한 다양한 온보딩 프로그램 운영', '• 생일 팀원 이벤트 진행 등', '', '근무 형태', '• 정규직 포지션이며, 3개월의 수습 기간이 있습니다.', '• 수습 기간 중 급여 100% 및 4대 보험 적용은 동일합니다.', '', '[전형 절차]', '• 서류 전형 -＞면접 전형 -＞ 최종 합격', '• 서류 전형 : 필수 자격 요건과 지원 동기를 확인하고 있습니다.', '• 면접 전형 : 직군에 따라 1-2차 면접을 통해 실무 역량과 문화 적합도를 평가합니다.', '• 위의 내용은 게임듀오의 기본 전형 절차이며, 직군에 따라 과제 전형 등 추가 절차가 진행 될 수 있습니다.', ' ', '기타', '•지원서 허위기재 사실이 발견될 시에는 불합격 또는 입사 취소됩니다.', '•지원서에 주민등록번호 등의 민감 개인 정보가 기재되지 않도록 유의하여 주십시오.', '•취업지원대상자 (장애인, 보훈대상자, 국가유공자)는 관계법령에 의거 우대합니다.', '[채용절차의 공정화에 관한 법률] 제 11조를 준수하며, 구직자의 채용 여부가 확정된 이후 확정된 채용대상자를 제외한 구직자가 채용서류의 반환을 청구하는 경우에는 기 제출한 채용서류를 반환 받을 수 있습니다. 다만, 제 7조 제 1항에 따라 홈페이지 또는 전자우편으로 제출된 경우나 구직자가 구인자의 요구 없이 자발적으로 제출한 경우에는 그러하지 아니합니다.']","['MySQL', 'TypeScript', 'AWS', 'NodeJS']",경기도 성남시 수정구 창업로 43(시흥동) b동
161836,웹 개발자,웹 프론트엔드 개발자,베스트핀,"['서울', '한국']","['연봉업계평균이상', '인원급성장', '50명이하', '설립3년이하', '성과급', '스타트업', '건강검진', '금융']","['• Front End 개발 경력 4~5년', '• Javascript, Typescript 개발이 가능하신 분', '• React 사용 경험이  있으신 분', '• 백엔드 개발자 및 서비스 기획자, 디자이너와 협업이 가능하신 분', '•  서비스 성능 최적화에 관심이 있으신 분']","['• 금융권 또는 핀테크 프로젝트 경험자 ', '• 스타트업 경험자 및 진취적 열정을 가진 사람']","['• 담비 리더십', '회사의 비전은 함께 만들어 가고, 개개인의 다양성은 인정하는 문화를 추구합니다.', '', '• 담비 콜레보레이션', ' 직원들의 의견을 먼저 듣고 방향을 정하기에 자발적인 참여가 이뤄집니다.', '', '• 담비 커뮤니케이션', '형식과 절차에 얽매이지 않습니다. 서로를 평등한 관계로 대하고자 다 함께 존중하며 노력하고 있어요.', '', '• 담비 자율성과 책임성', '충분하고 공정한 보상을 주기 위한 성과 기반의 절대적 평가 체계를 추구합니다.', '', '• 담비 복지', '중식대 지원(월 20만원 상당)  / 무제한 간식 제공  / 점심시간 30분 더! / 생일 축하 이벤트 및 휴가 제공  / 장기근속 혜택 가능(스톡옵션 부여) / 업무 성과에 따른 성과급 지급 / 자기계발지원 / 본인건강검진 지원 / 전 직원 쉬어가기 (연 2회)']","['React', 'JavaScript', 'JSP', 'NodeJS', 'Vue.JS']","서울특별시 영등포구 여의공원로 101, 904비호(여의도동, 씨씨엠엠빌딩)"
160912,웹 개발자,서비스 백엔드 개발자 (node.js) (4년 이상),누벤트,"['서울', '한국']","['연봉업계평균이상', '인원급성장', '50명이하', '설립4~9년', '스톡옵션', '수평적조직', '간식', '노트북', 'IT, 컨텐츠']","['- Node.js를 이용한 서버 개발 구축 경험', '- 하나 이상의 RDBMS, NoSQL 사용 경험', '- RESTful API 에 대한 기본적인 이해', '- AWS 환경에서 개발 및 운영 경험', '- 백엔드 개발 관련 경력 4년 이상']","['- SaaS형 서비스에서 백엔드 개발 경험', '- MySQL DB 설계, 관리 경험']","['편리한 교통', '- 삼성역과 선릉역에서 도보 9분, 회사 앞에 바로 버스정류장이 있어요 (포스코사거리)', '', '자율출퇴근제', '- 9시~11시 사이에 출근해서 8시간 근무하고 퇴근해요', '', '공유 오피스', '- 업무에만 집중할 수 있도록, 필요한 건 공유 오피스가 제공해 드려요', '', '수평적 조직문화', ""- 상호 간 호칭은 '○○님'! 활발한 커뮤니케이션을 지향해요"", '', '개인 노트북 지급', '- 윈도우, 맥 구분 없이 최신 사양 노트북 지급해 드려요', '', '부식 무제한 지원', '- 쿠팡 회사 계정으로 먹고 싶은 간식을 장바구니에만 담아두세요', '', '자기개발비 지원', '- 성장을 위한 도서비, 세미나, 컨퍼런스 지원해 드려요', '', '매달 마지막 금요일 리프레시 데이 (Refresh-day)', '- 문화생활도 중요하니까, 한달에 하루는 다 같이 일찍 퇴근해요', '', '스톡옵션 부여', '- 기여한 만큼 인정받아요. 성과에 따라 스톡옵션 부여해 드려요']","['Github', 'JIRA', 'Linux', 'MySQL', 'JavaScript', 'Node.js', 'AWS']","서울시 강남구 테헤란로 501, 6층 617호(삼성동, 브이플렉스)"
160122,웹 개발자,스마트 농업 솔루션 FE 개발자(3년 이상),아이오크롭스,"['서울', '한국']","['연봉업계평균이상', '인원급성장', '50명이하', '설립4~9년', '유연근무', '스타트업', '식비', '와인', 'IT, 컨텐츠']","['### 이런 분을 기다리고 있어요!', '', '- React를 활용한 개발 경력이 3년 이상 있으신 분', '- Next.js 으로 개발 경험이 있으신 분', '- 기획자∙디자이너 등 다양한 직무의 팀원들과 원활한 의사소통 및 협업이 가능하신 분', '- 최신 개발 트렌드에 관심이 많고, 직접 도전하는 것을 즐기시는 분', '- 유저가 겪는 문제를 찾고 기술로 해결하는 것에 대해 깊은 관심이 있으신 분']","['### 이런 분이면 더 좋아요!', '', '- AWS를 통한 서비스 운영 경험이 있으신 분', '- 요구사항들을 일반화하여 컴포넌트나 라이브러리를 제작한 경험이 있는 분', '- 단위 테스트, 통합 테스트 자동화 및 배포 자동화 경험이 있으신 분', '- Multi-platform 개발 경험이 있으신 분']","['### 근무 상세', '', '- 소속팀 : Tech팀', '- 근무 형태 : 정규직 (수습 3개월)', '- 근무 지역 : 아이오크롭스 오피스( 서울특별시 서초구 효령로 17, 청진빌딩 2층)', '- 근무 시간 : 오전 8시 ~ 11시 내 자율 출근, 8시간 근무 후 퇴근(휴게 1시간 제외)', '- 휴게 시간(점심 식사 시간) : 12시 ~ 13시', '', '', '', '### 아이오크롭스의 업무 환경', '', '- 유연근무제 | 오전 8~11시에 출근하고, 8시간 근무 후 자율적으로 퇴근해요.', '- 식비 전액 지원 | 밥값 고민 없이 맛있게 먹고 열심히 일해요.', '- 간식 무한 제공 | 내가 먹고 싶은 간식으로! 일하다 당 떨어지는 일 없게 해요.', '- 업무용 장비 지원 | 직군 상관없이 모두에게 노트북, 모니터 등 최신 IT 장비를 지원해요.', '- 휴가 사용 | 연차/반차는 눈치 보지 않고 자유롭게 사용해요.', '- 교육 지원 | 업무에 도움이 되는 책∙강의∙컨퍼런스 등 구매 및 참석을 지원해요.', '- 문화데이 | 분기별로 모든 팀원이 다 함께 문화데이를 만들고 즐겨요.', '- 타운홀 | 정기 타운홀 미팅을 통해 우리의 목표∙방향∙성과를 꾸준히 공유해요.', '- 함께하는 동료들 | 일터와 인생을 공유할 수 있고, 서로의 행복을 응원하는 친구 같은 동료들과 함께해요.']","['Github', 'React', 'AWS', 'SEO', 'React.js', 'React Native', 'Next.js']","서초구 효령로 17, 2층"
